# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,sps,target_agent_return
481,1784744291.623023,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.18243440985679626,-0.0032605158630758524,0.3234003756660968,1.397321905940771,4812000,11571,38496,2406,275.1899,0.029326449031941593,0.003748059181816643,-2.8019227758049965,160.58853,0.02697044558590278,-0.007686849904473547,-2.7373702004551888,,,0.95,0.88,7.494261837206431,6.256076225608334,1.2060288978149332,,,39.75064846366389,
482,1784744547.1093452,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.09500762075185776,-0.0007124058320187032,0.02796969236806035,1.3834990561008453,4822000,11592,38576,2411,334.75836,0.010299506422597915,0.006492194089396719,-2.8746428787708282,221.34268,0.0063831779843894765,-0.013721861707381322,-2.776986688375473,,,0.95,0.88,5.5914572890066285,6.492723825349334,1.077914701074617,,,39.14103911068242,
483,1784744800.0189126,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.4440431594848633,0.0007907666731625795,0.407742066308856,1.3830179385840893,4832000,11619,38656,2416,240.49585,0.020349620812339708,-0.01140481062066101,-2.824929766356945,168.22014,0.03551182895898819,-0.0036024174478370696,-2.8345790207386017,,,0.95,0.88,4.609634439027836,6.275218483331852,1.5192082948387933,,,39.53982404680851,
484,1784745052.6360147,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.11349896341562271,-0.001503314240835607,0.18493398983264342,1.389831367880106,4842000,11640,38736,2421,205.02461,0.039802266750484705,-0.006058368900994537,-2.825929716229439,271.91425,0.02231744900927879,0.011171511143402313,-2.7444943487644196,,,0.95,0.88,5.007470252165076,6.7080482255245135,1.0087196877727378,,,39.58560280272359,
485,1784745325.404641,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.15279436111450195,-0.005526107386685908,0.41734151483979076,1.3979372270405293,4852000,11660,38816,2426,219.5413,0.024960998649476096,-0.0023498001319239847,-2.7886282950639725,225.30354,0.03241026046453044,-0.0016531179571757093,-2.7492620572447777,,,0.95,0.88,5.8800957405281515,4.950856287824654,1.2121941783284433,1.0,652.9713,36.66110748143354,652.9713
486,1784745579.3430655,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.020154502242803574,-0.014648235810454935,0.13040277376421727,1.3944326266646385,4862000,11680,38896,2431,243.18747,0.02699882394517772,-0.007540195314504672,-2.794535480439663,141.66338,0.012302127332077362,-0.010698907632104238,-2.7111776918172836,,,0.95,0.88,5.18880507504929,6.109202692528598,1.3559672998101582,,,39.37962210926223,
487,1784745831.6039865,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.31913888454437256,-0.007783698500134051,0.41829474456608295,1.3927287235856056,4872000,11697,38976,2436,155.06671,0.039902957156300545,0.00100671789914486,-2.878678537905216,117.18813,0.027800501557067037,-0.0037958457214699592,-2.74429552257061,,,0.95,0.88,5.818355726090168,5.233631379426637,1.2552820950149215,,,39.6414977004315,
488,1784746085.5983963,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.13479243218898773,-0.002025104215135798,0.24804532423149794,1.3945588022470474,4882000,11728,39056,2441,154.8223,0.042445641127415,0.005247439677987131,-2.7997539192438126,138.34752,0.018869759514927864,-0.005759558800491504,-2.7981107980012894,,,0.95,0.88,5.099330473686951,6.090213498099081,0.8154510296899539,,,39.37094728728846,
489,1784746339.9512694,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.48043549060821533,-0.007654732093214989,0.47028233017772436,1.3987851068377495,4892000,11752,39136,2446,113.76753,0.0319599776994437,0.007189697415014962,-2.8666876032948494,241.3171,0.04021155502414331,-0.0007428705985148554,-2.8470489159226418,,,0.95,0.88,6.338304972354695,5.337803786120074,1.2694264437616571,,,39.31545760154149,
490,1784746613.0353127,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.5520983338356018,-0.014856668538413942,0.45040732249617577,1.3974500373005867,4902000,11774,39216,2451,243.79204,0.01736886816797778,-0.0040274626699101645,-2.8098081052303314,171.66524,0.03856272716075182,-0.009541673221974634,-2.844254195690155,,,0.95,0.88,5.6834648125996825,5.773696867454113,1.0166366027077314,1.0,522.01196,36.61876272611616,522.01196
