# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
189,1784476093.1433108,,5.411198390647769,,3.958014592062682,,6.457330184057355,,1.250968041131273,,3.0585610773414373,,1.2048681937449146,,2.793797142803669,,4.1875,0.0,0.0,0.0,0.0,30998528,13636,15136,946,-78.496254,0.06207564037758857,0.0020005525395390576,-3.4121842950582506,0,0.0,0.0,0.0,,,4.9301877940199805,0,0,0.0,-85.21259,-85.21259307861328,0.0,2309.9791190316387
190,1784476165.8716922,,4.5267061802587705,,3.443576842546463,,8.183154426515102,,0.8579106541583315,,2.192281875759363,,1.1827388900564983,,2.9717716621235013,,4.375,0.0,0.0,0.0,0.0,31162368,13696,15216,951,-81.45356,0.08070152634754776,0.003801994519017171,-3.423913802206516,0,0.0,0.0,0.0,,,5.4114772299913785,0,0,0.0,-68.127945,-68.12794494628906,0.0,2252.765880707961
191,1784476255.1342094,,4.175246139056981,,2.8982552932575345,,6.127790454775095,,1.1291317307041027,,2.4865897475683596,,1.4361737930448726,,3.1709277722984552,,5.125,0.0,0.0,0.0,0.0,31326208,13758,15296,956,-83.42843,0.06376969604752958,0.003581107208447065,-3.449893069267273,0,0.0,0.0,0.0,,,5.36758446703914,0,0,0.0,-69.28512,-69.28511810302734,0.0,1835.4848707310102
192,1784476325.5313175,,3.9847786724567413,,3.498201558832079,,6.359309125691652,,1.0729536252256366,,2.525163812097162,,1.0016252816421911,,2.8078481880947948,,4.3125,0.0,0.0,0.0,0.0,31490048,13817,15376,961,-87.53201,0.05079374753404409,0.001655396203568671,-3.504289112985134,0,0.0,0.0,0.0,,,5.451489617704009,0,0,0.0,-69.30997,-69.30996704101562,0.0,2327.368758738982
193,1784476397.370648,,5.539202522486448,,3.4628036664798856,,5.927662253379822,,1.211561688396614,,3.133478472009301,,1.1235160782234743,,2.0801187632605433,,5.0,0.0,0.0,0.0,0.0,31653888,13880,15456,966,-81.91222,0.06846439042128623,0.003816728848323692,-3.4649954572319985,0,0.0,0.0,0.0,,,5.178064154024087,0,0,0.0,-74.28523,-74.28523254394531,0.0,2280.645830633008
194,1784476469.7888844,,4.112946526147425,,2.870410045143217,,5.83383203484118,,1.929317929316312,,3.2721648598089814,,1.061557987704873,,2.702653221786022,,4.4375,0.0,0.0,0.0,0.0,31817728,13942,15536,971,-81.800446,0.05788438026793301,0.00395676043262938,-3.4873087629675865,0,0.0,0.0,0.0,,,5.237690094135962,0,0,0.0,-48.99632,-48.99631881713867,0.0,2262.412600496323
195,1784476540.7307827,,5.725565407774411,,3.593907799513545,,6.839905045926571,,1.8808889272622764,,3.2481145253404975,,1.2521761673269793,,2.3614835157059133,,4.875,0.0,0.0,0.0,0.0,31981568,13998,15616,976,-76.91487,0.05367552351672202,0.002050832063832786,-3.5075079292058944,0,0.0,0.0,0.0,,,4.7531648049177955,0,0,0.0,-96.00014,-96.00013732910156,0.0,2309.4958861856458
196,1784476631.3545816,,4.99472891446203,,2.9466785059776157,,6.7268668580800295,,1.3560933945700526,,2.7794646518304944,,1.4305623422842473,,2.8368873288854957,,5.875,0.0,0.0,0.0,0.0,32145408,14059,15696,981,-83.20903,0.07182068347465247,0.003844257984746946,-3.5035878494381905,0,0.0,0.0,0.0,,,5.371407735886897,0,0,0.0,-70.117645,-70.11764526367188,0.0,1807.9135605680246
197,1784476703.109096,,3.689217767678201,,3.8336252197041176,,6.787793952971697,,0.9792272327467799,,3.0348171200603247,,1.263784191396553,,2.916201399639249,,5.75,0.0,0.0,0.0,0.0,32309248,14119,15776,986,-79.993004,0.0576110813068226,0.003200684206967708,-3.4975893080234526,0,0.0,0.0,0.0,,,5.393482605221651,0,0,0.0,-97.1982,-97.19819641113281,0.0,2283.340634878636
198,1784476776.9150624,,3.931279929674929,,2.9227267125679646,,5.592496786266565,,1.4853195985779166,,2.807771940715611,,1.752179879695177,,3.495558500289917,,4.5,0.0,0.0,0.0,0.0,32473088,14178,15856,991,-78.919876,0.056814296660013495,0.0044262298193643804,-3.5419806584715845,0,0.0,0.0,0.0,,,5.710443697625633,0,0,0.0,-54.088337,-54.08833694458008,0.0,2219.874390356073
199,1784476848.5657675,,4.244331526570022,,4.031988079659641,,6.488462425768375,,1.6082105843815953,,2.9298199247568846,,0.8328467831597663,,2.953751520253718,,4.6875,0.0,0.0,0.0,0.0,32636928,14236,15936,996,-82.884834,0.05375891579315066,0.0029870695652789436,-3.5787655279040336,0,0.0,0.0,0.0,,,5.492882669205177,0,0,0.0,-83.100685,-83.1006851196289,0.0,2286.649377895956
200,1784476919.988404,,4.065294552128762,,3.1057220365619287,,5.665646009147167,,1.4350325556006283,,2.963826833292842,,1.3730497099459171,,2.588485167361796,,4.125,0.0,0.0,0.0,0.0,32800768,14291,16016,1001,-82.550545,0.06262916175182909,0.0018321486146305687,-3.6318770751357077,0,0.0,0.0,0.0,,,5.052456279512716,0,0,0.0,-68.90822,-68.90821838378906,0.0,2293.9507609185034
201,1784476990.9430072,,4.506619076710194,,2.828127653338015,,6.210745833814144,,1.4581819158047438,,3.2363590504974127,,1.049226880131755,,1.9834971241652966,,4.75,0.0,0.0,0.0,0.0,32964608,14347,16096,1006,-77.67026,0.054273082432337104,0.003236043741344474,-3.6236201241612433,0,0.0,0.0,0.0,,,5.281278749496993,0,0,0.0,-63.32845,-63.32844924926758,0.0,2309.081728931873
202,1784477080.8013113,,5.537164320703596,,4.0320790768601,,7.040097331628203,,1.4567155385157093,,2.6997747272253036,,1.0311830067439587,,2.873179445741698,,4.125,0.0,0.0,0.0,0.0,33128448,14408,16176,1011,-84.73587,0.05566585818305612,0.002870322283706628,-3.638965313136578,0,0.0,0.0,0.0,,,4.946920276257542,0,0,0.0,-67.48843,-67.4884262084961,0.0,1823.314800402602
203,1784477153.5993085,,4.732070742174983,,3.1229791982332245,,6.087618926540017,,0.834924568189308,,2.5253858929499984,,1.4174484391696751,,2.913823607377708,,3.6875,0.0,0.0,0.0,0.0,33292288,14466,16256,1016,-75.79227,0.053459791792556645,0.0024798752332571895,-3.6777942702174187,0,0.0,0.0,0.0,,,5.636130483047998,0,0,0.0,-63.253784,-63.2537841796875,0.0,2250.6120840956805
204,1784477226.5307453,,4.246863229200244,,4.072575751924887,,6.232415158301592,,1.0178403864847496,,2.774234781973064,,1.5969989058794454,,3.40262527577579,,3.875,0.0,0.0,0.0,0.0,33456128,14522,16336,1021,-72.26729,0.055150786368176344,0.0013640315170050598,-3.70742357224226,0,0.0,0.0,0.0,,,5.515725597276436,0,0,0.0,-68.850555,-68.85055541992188,0.0,2246.495312258593
