# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
33,1784092430.0839434,,5.057521173730493,,3.1396501167910174,,6.577225290238857,,1.919468054547906,,3.655726509168744,,1.7449493455933407,,3.265090580098331,,6.0,0.0,0.0,0.0,0.0,5439488,2422,2656,166,-85.866646,0.06439122254960239,-0.0005896050031878985,1.846531556546688,0,0.0,0.0,0.0,,,1.1668757508541927,0,0,0.0,-84.54435,-84.54434967041016,0.0,1578.9717917921616
34,1784092534.6074703,,5.030034622177482,,3.5844566812738776,,6.861675437539816,,0.8283897844376042,,2.334020499838516,,1.935823759995401,,3.58156337402761,,4.625,0.0,0.0,0.0,0.0,5603328,2499,2736,171,-84.80747,0.04913883765693754,-6.120460166130215e-05,1.7343225941061973,0,0.0,0.0,0.0,,,1.280646072631459,0,0,0.0,-86.00731,-86.00730895996094,0.0,1567.4943580966385
35,1784092643.440656,,4.117677679751068,,3.8808189518749714,,6.929934676736593,,1.7871730474871583,,3.34068413823843,,2.034993269480765,,3.641218263655901,,5.4375,0.0,0.0,0.0,0.0,5767168,2572,2816,176,-85.82316,0.06745617885608227,-0.0013092568187857978,1.6552413165569306,0,0.0,0.0,0.0,,,1.2102871867704412,0,0,0.0,-84.702065,-84.70206451416016,0.0,1505.423406605982
36,1784092746.9940145,,6.163740593474358,,4.222428984940052,,7.4669296853244305,,1.7208948443294503,,3.5634467098861933,,1.8931904184864834,,3.107794662937522,,6.125,0.0,0.0,0.0,0.0,5931008,2645,2896,181,-87.86193,0.07280667631421238,-0.0008952704854891635,1.5663857005536557,0,0.0,0.0,0.0,,,1.217603560851207,0,0,0.0,-85.80352,-85.80352020263672,0.0,1582.1788896874884
37,1784092858.4847176,,5.652387157315388,,4.865038217976689,,8.162446767091751,,1.9167269230820239,,3.49272767547518,,2.039643283933401,,3.7280149571597576,,6.5625,0.0,0.0,0.0,0.0,6094848,2718,2976,186,-83.18422,0.06475622288417071,-0.0010306324576959014,1.4616235457360744,0,0.0,0.0,0.0,,,1.2752059413707852,0,0,0.0,-90.15157,-90.15157318115234,0.0,1469.5397451007957
38,1784092964.8601348,,5.737836069893092,,2.985135642811656,,7.256892351433635,,1.6412172588752583,,3.425286440178752,,2.0984789170324802,,3.805773099884391,,5.875,0.0,0.0,0.0,0.0,6258688,2791,3056,191,-87.07216,0.054401659942232075,-0.0012072610392351636,1.3978219762444497,0,0.0,0.0,0.0,,,1.3022331847745314,0,0,0.0,-105.30913,-105.30912780761719,0.0,1540.2059067390903
39,1784093077.862785,,5.907297898083925,,4.635654431767762,,6.962483059614897,,1.5331108997634146,,3.1841012509539723,,2.619273802265525,,4.228882193565369,,6.0625,0.0,0.0,0.0,0.0,6422528,2862,3136,196,-83.670364,0.07749385735951364,-0.0005821689876029268,1.3028703391551972,0,0.0,0.0,0.0,,,1.3355270454644497,0,0,0.0,-81.89852,-81.89852142333984,0.0,1449.8780292141116
40,1784093180.6386812,,5.710370289161801,,4.287764774635434,,7.5433737598359585,,1.4351459522731602,,3.013651520013809,,1.4790793176507577,,3.346609640866518,,5.9375,0.0,0.0,0.0,0.0,6586368,2934,3216,201,-87.9094,0.05902440024074167,-0.0005735485639888794,1.216276752203703,0,0.0,0.0,0.0,,,1.3538140836133477,0,0,0.0,-86.575035,-86.57503509521484,0.0,1594.1467995839569
41,1784093290.8896902,,5.269726647529751,,4.22288394998759,,7.778529673814774,,1.3992710754973814,,2.915675900876522,,2.141449050977826,,3.5636568814516068,,4.8125,0.0,0.0,0.0,0.0,6750208,3009,3296,206,-87.73451,0.06573567443992942,-0.0015890605238382705,1.1433286406099796,0,0.0,0.0,0.0,,,1.2561075042847163,0,0,0.0,-89.692924,-89.69292449951172,0.0,1486.0636072457964
42,1784093396.0805383,,6.223437935113907,,4.390301615931094,,6.742782294750214,,1.701796077832114,,3.416996248997748,,1.5228682180168107,,3.34854862652719,,5.4375,0.0,0.0,0.0,0.0,6914048,3084,3376,211,-88.168015,0.07130970403086394,-0.0015286237554391845,1.052914459258318,0,0.0,0.0,0.0,,,1.3171566830727595,0,0,0.0,-82.76603,-82.76602935791016,0.0,1557.5502350128263
