# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
38,1784465495.362227,,3.4290370589587837,,3.989885490736924,,6.7575193382799625,,1.155494333943352,,2.559771020896733,,1.1877335974713787,,2.4548049905570224,,4.1875,0.0,0.0,0.0,0.0,6258688,3582,3056,191,-85.02641,0.08332485724240542,-0.00033138317230623214,1.5736858613789082,0,0.0,0.0,0.0,,,1.4337351973175827,0,0,0.0,-72.89649,-72.89649200439453,0.0,2763.3482592356686
39,1784465561.8445292,,4.336146619170904,,2.682634268712718,,5.801152270287275,,0.9274691459722817,,2.171671763062477,,1.08513037848752,,2.4526578234508634,,5.4375,0.0,0.0,0.0,0.0,6422528,3659,3136,196,-87.85571,0.07422703006304801,0.0003441204578848556,1.5453243874013425,0,0.0,0.0,0.0,,,1.4733563403809937,0,0,0.0,-76.871895,-76.87189483642578,0.0,2464.4190119187742
40,1784465621.9577658,,3.619324150495231,,2.9981292178854346,,5.506291938945651,,1.1304925580043346,,2.2630692599341273,,0.8791425133676967,,2.2407753951847553,,5.0625,0.0,0.0,0.0,0.0,6586368,3735,3216,201,-86.814224,0.07436858436558395,0.00015165055956458672,1.5065598845481873,0,0.0,0.0,0.0,,,1.4665273958594245,0,0,0.0,-90.77279,-90.77278900146484,0.0,2725.5200994526203
41,1784465688.7459304,,5.058007393963635,,3.279000986367464,,6.77934106439352,,1.3246011931914836,,2.3482241621240973,,1.1372418682731222,,2.197647225111723,,4.625,0.0,0.0,0.0,0.0,6750208,3815,3296,206,-86.634445,0.07214616981800645,0.0001969656368601136,1.445708405971527,0,0.0,0.0,0.0,,,1.5240102282770251,0,0,0.0,-89.3878,-89.38780212402344,0.0,2453.130702831996
42,1784465750.185078,,4.478801870718598,,3.7457945803180337,,6.46772738546133,,0.909080944256857,,2.029951107688248,,0.9142200602218509,,2.5389291788451374,,4.5625,0.0,0.0,0.0,0.0,6914048,3894,3376,211,-85.86469,0.08222339164931328,8.463165868306532e-05,1.4052602902054787,0,0.0,0.0,0.0,,,1.443653295707646,0,0,0.0,-80.61482,-80.61482238769531,0.0,2666.6999422111617
43,1784465816.4865336,,3.9294808078557253,,3.616302590817213,,6.898835487663746,,1.2627992255147547,,2.2227725433185697,,0.7699258599313907,,1.8662366457283497,,4.125,0.0,0.0,0.0,0.0,7077888,3973,3456,216,-89.38914,0.07174404126126319,0.0002123256927006878,1.3604604862630367,0,0.0,0.0,0.0,,,1.5810551930956631,0,0,0.0,-78.5259,-78.5259017944336,0.0,2471.1396712770547
44,1784465875.8679786,,3.898687172040809,,2.889589339029044,,5.359206981956959,,1.2398733000736684,,2.5108070950955153,,1.1552320256305393,,2.4487903609406203,,4.875,0.0,0.0,0.0,0.0,7241728,4046,3536,221,-87.46272,0.08939177447464317,0.0009058610128704458,1.281677135080099,0,0.0,0.0,0.0,,,1.5646834517884418,0,0,0.0,-73.32646,-73.32646179199219,0.0,2759.1081514370453
45,1784465940.1306548,,4.097866341471672,,3.5703628312330693,,5.823110118508339,,1.036977626645239,,2.7021728083491325,,1.234255240415223,,1.97394875343889,,4.0,0.0,0.0,0.0,0.0,7405568,4118,3616,226,-88.38201,0.06783196865580976,-0.00042966798500856387,1.243187453597784,0,0.0,0.0,0.0,,,1.5135525161292391,0,0,0.0,-78.980545,-78.98054504394531,0.0,2549.5363917643185
46,1784466001.4662926,,3.9258959889411926,,2.7539676369633526,,5.730441901832819,,0.8781500428449363,,2.4735483550466597,,1.0800521180499345,,3.107862020842731,,5.0,0.0,0.0,0.0,0.0,7569408,4188,3696,231,-87.531044,0.06299421139992774,0.0004370226131868549,1.1879580542445183,0,0.0,0.0,0.0,,,1.5813149190173086,0,0,0.0,-94.86183,-94.86183166503906,0.0,2671.2091314877107
47,1784466068.6147022,,4.734531962312758,,3.4653174970299006,,6.870924271643162,,1.0771731106797233,,2.8581517236307263,,1.0252971714362502,,1.8860191979911178,,3.6875,0.0,0.0,0.0,0.0,7733248,4264,3776,236,-88.11955,0.05809780126437545,-0.0014849052342469804,1.0903192035853864,0,0.0,0.0,0.0,,,1.6472695887196998,0,0,0.0,-86.02811,-86.02810668945312,0.0,2439.964370404985
48,1784466129.1176927,,4.63249068823643,,3.441635756753385,,5.889956615865231,,0.915026543661952,,2.3408682947047055,,0.9928937908262014,,1.8698731297627091,,4.75,0.0,0.0,0.0,0.0,7897088,4337,3856,241,-85.882065,0.08957613497041166,-0.00023947916197357698,1.0275995045900346,0,0.0,0.0,0.0,,,1.6666675077216773,0,0,0.0,-87.30159,-87.30158996582031,0.0,2707.964402282933
49,1784466195.429576,,3.594919699244201,,3.754555298946798,,6.24021683819592,,0.9778479285887443,,2.5908700050786138,,0.90919844515156,,2.4101901054382324,,4.8125,0.0,0.0,0.0,0.0,8060928,4413,3936,246,-86.200096,0.06914689370896668,-0.0012979032631847075,0.9799906648695469,0,0.0,0.0,0.0,,,1.5179688840087824,0,0,0.0,-80.12791,-80.1279067993164,0.0,2470.7504706619584
50,1784466256.9926286,,4.294597596745007,,4.061662694439292,,6.642776904627681,,0.5784545547794551,,2.174936201190576,,1.2398111779475585,,2.6908996514976025,,5.3125,0.0,0.0,0.0,0.0,8224768,4489,4016,251,-87.05839,0.06526389319915324,-0.00020499220554484054,0.9251673921942711,0,0.0,0.0,0.0,,,1.728660706450286,0,0,0.0,-72.47868,-72.47868347167969,0.0,2661.3364788543995
51,1784466323.1752613,,4.416521404928062,,2.638552072457969,,5.967812649905682,,0.8723715822270606,,2.125807600095868,,1.0781112540280446,,2.911554016172886,,3.9375,0.0,0.0,0.0,0.0,8388608,4565,4096,256,-85.9966,0.07253488735295832,0.0005866597668500618,0.8769517231732606,0,0.0,0.0,0.0,,,1.8101242910646937,0,0,0.0,-81.33594,-81.3359375,0.0,2475.5728220634205
52,1784466387.3043714,,4.734463712666184,,3.21295726345852,,5.79588383436203,,1.0894920083228499,,2.8748966194689274,,0.699922124913428,,2.257377866189927,,5.0625,0.0,0.0,0.0,0.0,8552448,4648,4176,261,-85.954185,0.08968687907326967,0.000667038606479764,0.8517781026661396,0,0.0,0.0,0.0,,,1.719939423242561,0,0,0.0,-87.38832,-87.38832092285156,0.0,2554.851059917898
53,1784466455.6661568,,3.7637823936529458,,3.174614617601037,,5.832867342978716,,0.9484006301499903,,3.1679892912507057,,1.411802377551794,,2.5314240716397762,,3.625,0.0,0.0,0.0,0.0,8716288,4727,4256,266,-84.304405,0.06990452921018005,-6.0987276810919866e-05,0.8451244287192822,0,0.0,0.0,0.0,,,1.6532281150453827,0,0,0.0,-81.58629,-81.58628845214844,0.0,2396.658008082226
